Bollocks,
Bullshit,
Nazi,
neger,
negrero,
Nigga,
Nigger,
niggers,
Niquer,
heil hitler,
Hitler,
Queer,
racista,
motherfucker,
Motherfucking,
scrote,
scum,
scum!,
shít,
sh!t,
sh!te,
sh!tes,
sh1't,
sh1t,
sh1te,
sh1thead,
sh1theads,
shhit,
shit,
shited,
shitface,
shitfaced,
shitforbrains,
shitfuck,
shitfucker,
shitfull,
shithapens,
shithappens,
shithead,
shithole,
shithouse,
shiting,
shitings,
shitoutofluck,
shits,
shitspitter,
shitstabber,
shitstabbers,
shitstain,
shitted,
shitter,
shitters,
shittiest,
shitting,
shittings,
shitty,
shiz,
slanteye,
slut,
slutbag,
sluts,
slutt,
slutting,
slutwear,
slutwhore
